Alpha,VaR_MC,VaR_SP,ES_MC,ES_Studer,ES_Martin,ES_KK,ES_BW
0.999,186.57357,4.95950605093e-316,225.922358182,4.4506315386e-308,1.78019082196e-306,6.013470017e-154,9.79063734661e-307
0.99,101.26892,2.49995865032e-315,138.03866495,7.56599807232e-307,1.37962456109e-306,1.12314654372e+219,9.34607074032e-307
0.95,51.87995,2.50034710449e-315,83.3482509182,4.45034294846e-308,8.45608193799e-307,2.45126802644e+198,7.56601165206e-307
0.9,34.0896,2.49999011242e-315,62.9228924076,1.06811422166e-306,4.45064851514e-308,6.0133451493e-154,4.45039387526e-308
0.75,15.99969,2.50034710449e-315,39.2545446182,4.45064002761e-308,7.56599807232e-307,1.7801027157e-306,1.29061210093e-306
